name,found_year
ΣX,1908
ΣN,1924
ΠKA,1927
KΣ,1928
BΘΠ,1913
ATΩ,2018
TRI,2013
ΩΔΦ,2015
ΦΔT,1914
ΔΣΦ,2014
ΣΦE,1950
